display_date,headlines,description
2024-07-13T13:36:55.911Z,NEW INFORMATION: Fire forces inmate evacuations at Pima County jail,"As of 9 p.m. Friday, there were no reported injuries."
2024-07-13T05:20:19.694Z,Father released to pretrial services following death of young Marana girl left in hot car,"37-year-old Christopher Scholtes was taken into custody early Friday, July 12, on charges of second-degree murder and child abuse."
2024-07-13T02:06:21.619Z,Voter’s guide language for Arizona Abortion Access Act lands in court,The first hearing for what could be many court challenges to Arizona’s abortion initiative was held in Phoenix this afternoon.
2024-07-13T01:56:34.975Z,"1 killed, 1 injured in shooting in Phoenix apartment pool area",One man is dead and another is badly injured after an overnight shooting at an apartment complex in the Ahwatukee area. 
2024-07-12T23:30:05.173Z,Alabama man accused of stabbing woman to death in Kingman,A man from Alabama is facing murder charges after he allegedly stabbed a woman to death in Kingman.
2024-07-12T22:49:56.683Z,Alec Baldwin’s case dismissed in middle of involuntary manslaughter trial ,A New Mexico judge on Friday threw out the involuntary manslaughter case against Alec Baldwin in the middle of his trial and said it cannot be filed again.
2024-07-12T20:35:30.265Z,Eric Ridenour convicted of burning two Douglas churches,A jury of eight women and four men convicted Eric Ridenour on six counts for burning two churches in Douglas in May 2023.
2024-07-12T14:46:37.714Z,"Trooper injured after driver crashes into fire department, DPS vehicle in Flagstaff",A trooper is recovering after a driver crashed into two emergency vehicles on a busy northern Arizona freeway on Thursday night.
2024-07-12T04:12:05.262Z,Police identify woman found shot to death at downtown Phoenix hotel,Police have released the name of a woman who was found shot to death at a popular downtown Phoenix hotel nearly a week ago.
2024-07-12T03:24:37.047Z,Douglas community says justice is served with Eric Ridenour conviction,"Community members in Douglas are sharing their thoughts on the guilty verdict delivered in federal court this morning. However, the verdict doesn’t erase the damage left behind."
2024-07-12T03:19:00.326Z,FUMBLED FUNDS? Tucson Seminoles football program families question spending,A lot of questions are swirling around a new youth football organization.
2024-07-12T00:16:38.695Z,"Ex-Buckeye middle school teacher had ‘sleepovers’ with student, Buckeye police say","A former Verrado Middle School was arrested after police said he had multiple ""sleepovers"" with a 12-year-old student, even though he doesn't have a daughter."
2024-07-11T23:49:48.547Z,"Preston Lord’s family files wrongful death lawsuit against 7 suspects, parents ",The parents of Preston Lord have filed a wrongful death lawsuit against the seven suspects accused of his murder and several parents.
2024-07-11T23:18:37.690Z,"Driver arrested after fleeing from trooper, causing crash in Phoenix ",A driver is in custody after fleeing from Department of Public safety troopers and causing a crash in Phoenix on Thursday morning.
2024-07-11T20:13:59.521Z,UPDATE: Woman shot during Tucson domestic violence incident,The Tucson Police Department confirmed it happened at a home in the 11400 block of East Dry Wind Drive.
2024-07-11T19:14:40.721Z,"Alleged firefighter impersonator accused of telling residents to evacuate due to Hillside Fire, causing panic","No evacuations have been ordered yet, the sheriff's office confirmed. "
2024-07-11T17:14:08.604Z,NEW INFORMATION: Jury convicts man charged in Douglas church arsons,A jury of eight women and four men are reviewing the evidence in the case of two churches being set on fire.
2024-07-11T15:57:56.016Z,"2 indicted after firework explodes, damages Mesa home",Two young men have been indicted on felony charges for allegedly using a firework to cause an explosion at a Mesa home last month.
2024-07-11T14:19:49.328Z,Arizona State Senate candidate accused of removing opponent's campaign flyer from residence,New video appears to shows Arizona State Senate candidate Leezah Sun taking down a political opponent’s flyer at a Valley home and replacing it with her own.
2024-07-11T05:30:50.656Z,Father of Phoenix man shot and killed by Police says DOJ report backs up his criticism,The father of a man who was shot and killed by Phoenix police said the DOJ report proves the criticism he's made.
2024-07-11T04:33:27.982Z,"Phoenix man accused of beating 6-year-old, placing hot handcuffs on her legs",A Phoenix man is facing child abuse charges for allegedly beating a 6-year-old girl and forcing her to wear hot handcuffs. 
2024-07-11T03:14:23.177Z,Tucson family speaks out one year after deadly DUI crash,"One year ago, Jessica Belen Felix and Raul Zepeda Gonzalez Jr. were driving in Tucson when they were hit by an alleged drunk driver."
2024-07-11T02:17:01.285Z,"Arrest made in 20-year-old cold case, suspect extradited back to Phoenix","Phoenix police say they arrested Sergio Reyes on Wednesday, 20 years to the day after 15-year-old Elena Lasswell was found murdered."
2024-07-11T01:51:49.135Z,One month into Biden’s border order: Yuma County nonprofit sees decrease in migrants,"The Regional Center for Border Health is a nonprofit that prevents migrant street releases, says they're seeing fewer people come through the system."
2024-07-10T23:52:55.352Z,No charges to be filed after animal control officer seen dragging dog in Winslow,Prosecutors won't seek charges for an animal control officer caught on camera dragging a dog in Winslow.
2024-07-10T23:20:52.997Z,Parents face endangerment charges after child accidentally shoots himself near Mesa,"The parents of a 3-year-old boy who accidentally shot himself in the head almost two months ago near Mesa are facing endangerment charges, MCSO says."
2024-07-10T22:36:25.141Z,House Democrat files impeachment articles against 2 U.S. Supreme Court justices,The Democratic lawmaker from New York has introduced impeachment articles against Justices Clarence Thomas and Samuel Alito.
2024-07-10T19:00:35.324Z,UPDATE: Both sides rest in trial for accused church arsonist,The jury hears phone calls between Eric Ridenour and his wife after his arrest as he refers to his views on homosexuals and women in church leadership positions.
2024-07-10T18:44:59.340Z,Arizona state prison sergeant arrested for alleged sexual assault of subordinate,A sergeant at the Lewis State Prison complex in Buckeye has been arrested for allegedly sexually assaulting an employee who worked under his supervision. 
2024-07-10T03:08:07.537Z,VIDEO: Scottsdale neighborhood rocked by mysterious fireworks explosion,Security video shows someone tossing out what is believed to be a lit firework and speeds away just moments before the explosion.
2024-07-10T02:39:16.007Z,Pima County may reverse decision on eliminating constable position,The Pima County Board of Supervisors appears to be on the verge of reversing a decision it made in May to eliminate not only a constable’s position for Precinct 4 but also to eliminate the precinct.
2024-07-09T23:19:33.707Z,Jury is seated in Alec Baldwin’s involuntary manslaughter trial in New Mexico ,"Jury selection starts Tuesday in Santa Fe, New Mexico, in the actor's trial on a charge of involuntary manslaughter that could get him 18 months in prison."
2024-07-09T23:11:52.882Z,Northern Arizona man arrested on attempted homicide charges ,"Frank Ross, 66, has been arrested in connection with a shooting that left another man fighting for his life in Seligman."
2024-07-09T22:47:43.220Z,Former temporary Maricopa County election worker indicted on multiple charges,The Maricopa County Attorney’s Office has announced the indictment of a man accused of taking equipment while he was a temporary worker at the county election’s office. He is also charged with other thefts in the weeks before that arrest
2024-07-09T21:40:35.554Z,NEW INFORMATION: George Kelly case dismissed,The jury was deadlocked last week over whether or not to convict the rancher on a second-degree murder charge.
2024-07-09T19:39:15.093Z,"Teen arrested for causing deadly, fiery crash, Phoenix police say",A 19-year-old is facing felony charges after police said she was impaired and caused a deadly crash in north Phoenix.
2024-07-09T12:12:17.896Z,Man hospitalized after shooting in Chandler,A man is injured after being shot late Monday night in Chandler. 
2024-07-09T03:53:02.371Z,"Officials reveal where Kelly Paduchowski’s body, other evidence was found in Flagstaff",Flagstaff Police have now revealed the area in Flagstaff where Kelly Paduchowski’s remains were found on Friday. The discovery came after days of searching for her.
2024-07-09T01:45:52.804Z,"Trial starts for Eric Ridenour, man accused of setting fire to two Douglas churches",Arson trial starts for Eric Ridenour who is charged with burning two churches in Douglas in May 2023.
2024-07-08T23:51:14.221Z,Woman accused of manslaughter months after golf cart crash near Litchfield Park,A West Valley woman is facing a felony manslaughter crash months after a deadly golf cart crash near Litchfield Park.
2024-07-08T22:21:30.741Z,"Victim critical, suspect arrested in Tucson aggravated assault",The victim was taken to the hospital with life threatening injuries.
2024-07-08T21:24:35.533Z,Man sentenced to 32+ years for killing ex-girlfriend while she slept at Glendale home,The Maricopa County Attorney’s Office has announced the sentencing for a man convicted of killing her ex-girlfriend while she slept.
2024-07-08T18:23:54.707Z,NEW DETAILS: South Tucson Police arrest suspect in shooting death,"Police say officers arrested 30-year-old Jose Chavez Saturday, July 6."
2024-07-06T00:28:01.673Z,Mohave County woman calls 911 after shooting husband,"A woman is in jail for attempting to murder her husband, police say."
2024-07-05T20:35:28.298Z,NEW DETAILS: Tucson Police identify person killed in south side shooting,The Tucson Police Department said the shooting happened at a home west of the airport.
2024-07-05T18:47:41.595Z,2 teens accused of setting Gilbert barn on fire with others inside,Two juveniles have been arrested for arson after allegedly setting a building on fire in a Gilbert neighborhood Wednesday night.
2024-07-05T14:42:17.891Z,Homicide investigation underway after woman found dead in downtown Phoenix hotel,A woman was found dead inside a popular downtown Phoenix hotel on Friday morning. 
2024-07-05T13:57:03.249Z,DPS conducting high visibility patrols for Arizonans heading home from holiday weekend,The Department of Public Safety will be conducting high-visibility patrols and DUI enforcement as folks start to head home from the holiday weekend.
2024-07-05T02:46:58.220Z,"Man shot near First, Fort Lowell in Tucson",The TPD said the man was transported to the hospital with injuries that were not life-threatening.
2024-07-04T13:41:51.536Z,Whistleblower says Boeing used scrap parts on new planes,"The latest whistleblower alleges the company knowingly used defective parts in its planes. 
"
